year,Production,Production_forecast,Consumption,Consumption_forecast,ConsumptionBase,Gap
2011,13929.1,,12893.3,,12893.3,1035.800000000001
2012,13181.9,,12846.7,,12846.7,335.1999999999989
2013,13292.7,,13215.6,,13215.6,77.10000000000036
2014,14312.8,,13444,,13444,868.7999999999993
2015,14807.2,,13946.7,,13946.7,860.5
2016,15371.1,,14317.1,,14317.1,1054
2017,15936.3,,14485.1,,14485.1,1451.199999999999
2018,16091.3,,14420.4,,14420.4,1670.8999999999996
2019,15778.5,,14551.7,,14551.7,1226.7999999999993
2020,13902.9,,12646.2,,12646.2,1256.699999999999
2021,15015.7,,13944.4,,13944.4,1071.300000000001
2022,15360.7,,14023.4,,14023.4,1337.300000000001
2023,15580.2,,14230,,14230,1350.2000000000007
2024,16181,,14206.4,,14206.4,1974.6000000000004
2025,16494.4,16494.4,14345.6,14345.6,14345.6,2148.800000000001
2026,,16796.2,,14365,14365,2431.2000000000007
2027,,16902,,14361.5,14361.5,2540.5
