year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,135,127,135,139,139,123,139,123,130,145,138,150
2001,150,136,147,135,140,139,146,147,146,158,159,161
2002,176,143,167,159,168,156,167,177,183,207,209,229
2003,230,199,228,226,228,228,232,234,239,245,244,270
2004,275,258,279,275,288,280,284,293,285,294,292,303
2005,313,288,316,300,309,313,336,338,329,350,347,364
2006,375,355,392,364,382,400,411,430,424,442,439,471
2007,488,453,499,492,528,527,549,570,563,597,612,641
2008,674,652,736,720,788,741,800,842,812,842,846,854
2009,822,767,845,814,883,887,961,972,933,986,1013,1056
2010,1076,1000,1112,1066,1102,1077,1117,1132,1101,1154,1165,1195
2011,1196,1063,1183,1115,1164,1143,1157,1175,1117,1177,1192,1248
2012,1220,1119,1157,1107,1160,1114,1060,1096,1024,1049,1039,1074
2013,1041,945,1076,1075,1142,1122,1131,1104,1074,1176,1172,1235
2014,1184,1061,1181,1165,1213,1202,1235,1204,1168,1203,1201,1295
2015,1250,1126,1238,1172,1246,1247,1270,1250,1200,1255,1246,1305
2016,1279,1210,1300,1185,1275,1279,1322,1338,1262,1302,1290,1373
2017,1381,1231,1361,1245,1338,1293,1318,1372,1289,1353,1371,1384
2018,1368,1246,1360,1289,1360,1341,1404,1418,1288,1359,1324,1333
2019,1327,1201,1296,1301,1364,1340,1367,1341,1228,1300,1317,1398
2020,1401,1281,1235,714,889,1090,1206,1194,1167,1244,1256,1265
2021,1210,962,1232,1185,1311,1287,1321,1222,1179,1356,1360,1392
2022,1352,1189,1326,1216,1313,1314,1323,1282,1137,1321,1326,1262
2023,1305,1175,1285,1225,1294,1306,1345,1308,1264,1338,1327,1408
2024,1295,1308,1391,1238,1335,1315,1420,1407,1311,1367,1402,1436
2025,1411,1275,1373,1287,1348,1357,1405,1407,1323,1433,1408,1467
2026,1417,1306,1426,1309,1398,1363,1410,1420,1346,1420,1424,1466
2027,1459,1261,1401,1337,1422,1391,1438,1451,1375,1456,1453,1491
