state_abbr,state_name,million_gallons,year
TX,Texas,1570.968,2024
CA,California,1399.5240000000001,2024
FL,Florida,946.596,2024
NY,New York,543.48,2024
NC,North Carolina,517.272,2024
GA,Georgia,491.778,2024
OH,Ohio,475.35600000000005,2024
PA,Pennsylvania,449.274,2024
MI,Michigan,439.86600000000004,2024
IL,Illinois,436.338,2024
VA,Virginia,419.83200000000005,2024
NJ,New Jersey,378.084,2024
AL,Alabama,348.894,2024
TN,Tennessee,345.91200000000003,2024
MO,Missouri,319.20000000000005,2024
AZ,Arizona,317.814,2024
MN,Minnesota,311.766,2024
IN,Indiana,302.274,2024
SC,South Carolina,281.19,2024
WA,Washington,275.94,2024
MA,Massachusetts,268.67400000000004,2024
WI,Wisconsin,265.986,2024
MD,Maryland,250.99200000000002,2024
LA,Louisiana,231.37800000000001,2024
CO,Colorado,222.936,2024
KY,Kentucky,222.39000000000001,2024
OK,Oklahoma,187.32000000000002,2024
IA,Iowa,179.08800000000002,2024
MS,Mississippi,177.24,2024
AR,Arkansas,162.834,2024
CT,Connecticut,159.60000000000002,2024
OR,Oregon,154.392,2024
KS,Kansas,132.51000000000002,2024
NV,Nevada,125.748,2024
UT,Utah,115.668,2024
NM,New Mexico,95.76,2024
NE,Nebraska,88.36800000000001,2024
NH,New Hampshire,74.17200000000001,2024
WV,West Virginia,74.13000000000001,2024
ID,Idaho,66.444,2024
ME,Maine,65.94,2024
DE,Delaware,52.542,2024
SD,South Dakota,51.492000000000004,2024
MT,Montana,49.098000000000006,2024
ND,North Dakota,45.276,2024
HI,Hawaii,44.478,2024
RI,Rhode Island,39.186,2024
WY,Wyoming,31.080000000000002,2024
VT,Vermont,28.392000000000003,2024
DC,District of Columbia,10.626000000000001,2024
AK,Alaska,0,2024
