date,Year,Cellulosic (D3),Biomass-based Diesel (D4),Advanced (D5),Renewable Fuel (D6)
2011-01-01,2011,NA,1.208080808080808,0.7166176470588236,0.02183673469387755
2012-01-01,2012,NA,1.082566371681416,0.6863013698630137,0.05598130841121495
2013-01-01,2013,1.2,0.6970000000000001,0.6642105263157895,0.5289380530973451
2014-01-01,2014,0.7391666666666667,0.5387323943661972,0.49462500000000004,0.43801526717557254
2015-01-01,2015,0.9032926829268293,0.7190909090909091,0.6395294117647059,0.5752941176470588
2016-01-01,2016,1.5460839160839162,0.8430923694779117,0.8143333333333334,0.736303317535545
2017-01-01,2017,2.457478260869565,0.9903225806451613,0.9242424242424243,0.6994736842105264
2018-01-01,2018,2.345258620689655,0.5738362068965518,0.5284745762711864,0.40719512195121954
2019-01-01,2019,1.3361458333333334,0.44723684210526315,0.4252222222222222,0.15829931972789116
2020-01-01,2020,1.31968,0.554047619047619,0.5664601769911505,0.3305769230769231
2021-01-01,2021,2.654263565891473,1.3288127853881277,1.4281896551724138,1.1631847133757962
2022-01-01,2022,3.0365030674846625,1.6595199999999999,1.6796521739130434,1.3855555555555557
2023-01-01,2023,2.550070422535211,1.5415062761506275,1.489809523809524,1.444864864864865
2024-01-01,2024,3.073358778625954,0.7203980099502488,0.6410576923076923,0.6855284552845529
2025-01-01,2025,2.3881065088757394,0.9117509727626459,0.952325581395349,0.8967241379310344
2026-01-01,2026,2.426179775280899,1.465289256198347,1.5783333333333334,1.48
