"period","year","month","total_value_usd","total_liters","total_gallons"
"2025-04",2025,4,379683238,652536340,172381830.01048
"2025-05",2025,5,408609311,699544414,184800046.935208
"2025-06",2025,6,385451046,658154532,173865999.027504
"2025-07",2025,7,360149349,622886296,164549118.586912
"2025-08",2025,8,417532191,715334294,188971291.114568
"2025-09",2025,9,347140908,562590849,148620749.762028
"2025-10",2025,10,384460405,701113935,185214670.43682
"2025-11",2025,11,508641171,800647643,211508689.146596
"2025-12",2025,12,473500781,834575332,220471434.605104
"2026-01",2026,1,476107928,803188999,212180044.243828
"2026-02",2026,2,441259969,795437913,210132424.353036
"2026-03",2026,3,488445067,824879568,217910085.237696
